gene	GENEID	rna_group
Ubr4	ENSMUSG00000066036	Gained
Crp	ENSMUSG00000037942	Gained
Rab37	ENSMUSG00000020732	Gained
Ccng2	ENSMUSG00000029385	Gained
Camk2n1	ENSMUSG00000046447	Gained
Tle3	ENSMUSG00000032280	Gained
Psd2	ENSMUSG00000024347	Gained
Chil1	ENSMUSG00000064246	Gained
Vip	ENSMUSG00000019772	Gained
Tmcc2	ENSMUSG00000042066	Lost
Cyp26c1	ENSMUSG00000062432	Lost
Vopp1	ENSMUSG00000037788	Lost
Xrra1	ENSMUSG00000035211	Lost
Gzmm	ENSMUSG00000054206	Lost
Hk1	ENSMUSG00000037012	Lost
Pex5l	ENSMUSG00000027674	Lost
Aipl1	ENSMUSG00000040554	Lost
Pou4f3	ENSMUSG00000024497	Lost
Ubtd1	ENSMUSG00000025171	Lost
Grap2	ENSMUSG00000042351	Lost
Egflam	ENSMUSG00000042961	Lost
Rwdd2a	ENSMUSG00000032417	Lost
Acsl6	ENSMUSG00000020333	Lost
Vamp4	ENSMUSG00000026696	Lost
Hlf	ENSMUSG00000003949	Lost
Pea15a	ENSMUSG00000013698	Lost
Ccdc175	ENSMUSG00000021086	Lost
Gem	ENSMUSG00000028214	Lost
Pwwp2b	ENSMUSG00000110798	Lost
1700017B05Rik	ENSMUSG00000032300	Lost
Wrap53	ENSMUSG00000041346	Lost
Sptb	ENSMUSG00000021061	Lost
Nek6	ENSMUSG00000026749	Lost
Xkr7	ENSMUSG00000042631	Lost
Rimbp2	ENSMUSG00000029420	Lost
Tmem35a	ENSMUSG00000033578	Lost
Il17rd	ENSMUSG00000040717	Lost
Dll3	ENSMUSG00000003436	Lost
Sncb	ENSMUSG00000034891	Lost
Loxl1	ENSMUSG00000032334	Lost
Scarb1	ENSMUSG00000037936	Lost
Lmo1	ENSMUSG00000036111	Lost
Por	ENSMUSG00000005514	Lost
Kcnh6	ENSMUSG00000001901	Lost
Clmn	ENSMUSG00000021097	Lost
Pitpnm2	ENSMUSG00000029406	Lost
Extl1	ENSMUSG00000028838	Lost
Sun1	ENSMUSG00000036817	Lost
Tax1bp1	ENSMUSG00000004535	Lost
Ccdc155	ENSMUSG00000038292	Lost
P2rx7	ENSMUSG00000029468	Lost
Disp1	ENSMUSG00000030768	Lost
Lifr	ENSMUSG00000054263	Lost
Whrn	ENSMUSG00000039137	Lost
Nphp4	ENSMUSG00000039577	Lost
Jam3	ENSMUSG00000031990	Lost
Mindy4	ENSMUSG00000038022	Lost
Gucd1	ENSMUSG00000033416	Lost
Adamts15	ENSMUSG00000033453	Lost
Adrb1	ENSMUSG00000035283	Lost
Ppm1k	ENSMUSG00000037826	Lost
Slc31a2	ENSMUSG00000066152	Lost
Tmem86a	ENSMUSG00000010307	Lost
Nr2e3	ENSMUSG00000032292	Lost
Prkab1	ENSMUSG00000029513	Lost
E2f3	ENSMUSG00000016477	Lost
Snrk	ENSMUSG00000038145	Lost
Dnajb2	ENSMUSG00000026203	Lost
Abcg1	ENSMUSG00000024030	Lost
Camkk1	ENSMUSG00000020785	Lost
Atp8a2	ENSMUSG00000021983	Lost
Amigo2	ENSMUSG00000048218	Lost
Pcmtd2	ENSMUSG00000027589	Lost
Ptprn2	ENSMUSG00000056553	Lost
Rd3	ENSMUSG00000049353	Lost
Cox8b	ENSMUSG00000025488	Lost
Dst	ENSMUSG00000026131	Lost
Rapgef5	ENSMUSG00000041992	Lost
Spock2	ENSMUSG00000058297	Lost
Pkm	ENSMUSG00000032294	Lost
Trib1	ENSMUSG00000032501	Lost
Nedd9	ENSMUSG00000021365	Lost
Peli3	ENSMUSG00000024901	Lost
Cyp2s1	ENSMUSG00000040703	Lost
Cd4	ENSMUSG00000023274	Lost
Tmem26	ENSMUSG00000060044	Lost
AW549877	ENSMUSG00000041935	Lost
Slc26a2	ENSMUSG00000034320	Lost
Cadm1	ENSMUSG00000032076	Lost
Eml2	ENSMUSG00000040811	Lost
Gm37240	ENSMUSG00000102805	Lost
Osgep	ENSMUSG00000006289	Lost
Kif11	ENSMUSG00000111220	Lost
Pimreg	ENSMUSG00000020808	Lost
Bahcc1	ENSMUSG00000039741	Lost
Crb2	ENSMUSG00000035403	Lost
Cend1	ENSMUSG00000060240	Lost
Rax	ENSMUSG00000024518	Lost
Cplx3	ENSMUSG00000039714	Lost
Kcnk9	ENSMUSG00000036760	Lost
App	ENSMUSG00000022892	Lost
Fgfr3	ENSMUSG00000054252	Lost
Chrna5	ENSMUSG00000035594	Lost
Epb41l2	ENSMUSG00000019978	Lost
Nos3	ENSMUSG00000028978	Lost
F2rl1	ENSMUSG00000021678	Lost
Pitpnm1	ENSMUSG00000024851	Lost
Srrm4	ENSMUSG00000063919	Lost
Arhgap11a	ENSMUSG00000041219	Lost
Rgl3	ENSMUSG00000040146	Lost
Plekhh2	ENSMUSG00000040852	Lost
Nrip3	ENSMUSG00000034825	Lost
Galnt4	ENSMUSG00000090035	Lost
C1qa	ENSMUSG00000036887	Lost
Gmppa	ENSMUSG00000033021	Lost
Ankrd2	ENSMUSG00000025172	Lost
Esco2	ENSMUSG00000022034	Lost
Kpna3	ENSMUSG00000021929	Lost
Th	ENSMUSG00000000214	Lost
Card19	ENSMUSG00000037960	Lost
Acyp2	ENSMUSG00000060923	Lost
Tmem200c	ENSMUSG00000095407	Lost
Pitpnm1	ENSMUSG00000097096	Lost
Arl13b	ENSMUSG00000022911	Lost
Acbd6	ENSMUSG00000033701	Lost
Sparc	ENSMUSG00000018593	Lost
Suclg2	ENSMUSG00000061838	Lost
Abhd11	ENSMUSG00000040532	Lost
Pgap3	ENSMUSG00000038208	Lost
Rd3	ENSMUSG00000111723	Lost
Fsbp	ENSMUSG00000094595	Lost
Gramd1b	ENSMUSG00000040111	Lost
Sdk2	ENSMUSG00000041592	Lost
Jarid2	ENSMUSG00000038518	Lost
Get4	ENSMUSG00000025858	Lost
Coch	ENSMUSG00000020953	Lost
Kif11	ENSMUSG00000012443	Lost
Atoh8	ENSMUSG00000037621	Lost
Erich6	ENSMUSG00000070471	Lost
Pitpnm1	ENSMUSG00000097096	Lost
Lrp8	ENSMUSG00000028613	Lost
Iqgap1	ENSMUSG00000030536	Lost
Gpc6	ENSMUSG00000058571	Lost
Zfp608	ENSMUSG00000052713	Lost
C1qtnf12	ENSMUSG00000023571	Lost
Vipr2	ENSMUSG00000011171	Lost
Wfdc1	ENSMUSG00000023336	Lost
Lrig1	ENSMUSG00000030029	Lost
Fads3	ENSMUSG00000024664	Lost
Bzw2	ENSMUSG00000020547	Lost
Mapk4	ENSMUSG00000024558	Lost
Dpy19l3	ENSMUSG00000043671	Lost
Kcnj5	ENSMUSG00000032034	Lost
Dusp8	ENSMUSG00000037887	Lost
Zdhhc14	ENSMUSG00000034265	Lost
Lyve1	ENSMUSG00000030787	Lost
Pomc	ENSMUSG00000020660	Lost
Rcor2	ENSMUSG00000024968	Lost
Zdhhc2	ENSMUSG00000039470	Lost
Mtfr1	ENSMUSG00000027601	Lost
Pwwp2b	ENSMUSG00000060260	Lost
Crxos	ENSMUSG00000074365	Lost
Prickle1	ENSMUSG00000036158	Lost
Gldc	ENSMUSG00000024827	Lost
Shank2	ENSMUSG00000037541	Lost
Tdrd5	ENSMUSG00000060985	Lost
Mknk1	ENSMUSG00000028708	Lost
Ndrg1	ENSMUSG00000005125	Lost
Ebpl	ENSMUSG00000021928	Lost
Bcar3	ENSMUSG00000028121	Lost
Gsg1l2	ENSMUSG00000097886	Lost
Rasl11a	ENSMUSG00000029641	Lost
Sirt2	ENSMUSG00000015149	Lost
Hpcal4	ENSMUSG00000046093	Lost
Arl6	ENSMUSG00000022722	Lost
A930033H14Rik	ENSMUSG00000090622	Lost
Kcnip2	ENSMUSG00000025221	Lost
Rnaset2a	ENSMUSG00000095687	Lost
Qpct	ENSMUSG00000024084	Lost
Nr6a1	ENSMUSG00000063972	Lost
Pacrg	ENSMUSG00000037196	Lost
Ddx1	ENSMUSG00000037149	Lost
Tmem108	ENSMUSG00000042757	Lost
Rraga	ENSMUSG00000070934	Lost
Opn4	ENSMUSG00000021799	Lost
Cap2	ENSMUSG00000021373	Lost
Sirpa	ENSMUSG00000037902	Lost
Scube3	ENSMUSG00000038677	Lost
Myo1g	ENSMUSG00000020437	Lost
Arhgap31	ENSMUSG00000022799	Lost
Pcdh15	ENSMUSG00000052613	Lost
Vps37b	ENSMUSG00000066278	Lost
Crot	ENSMUSG00000003623	Lost
Dbp	ENSMUSG00000059824	Lost
Lhx4	ENSMUSG00000026468	Lost
Suv39h2	ENSMUSG00000026646	Lost
Flcn	ENSMUSG00000032633	Lost
Dscaml1	ENSMUSG00000032087	Lost
Fam89a	ENSMUSG00000043068	Lost
Fabp12	ENSMUSG00000027530	Lost
Foxo6	ENSMUSG00000052135	Lost
Heg1	ENSMUSG00000075254	Lost
Wdr17	ENSMUSG00000039375	Lost
Kmt2d	ENSMUSG00000048154	Lost
Fam107b	ENSMUSG00000026655	Lost
Dusp5	ENSMUSG00000034765	Lost
Ascl1	ENSMUSG00000020052	Lost
